График,Сценарий,Уникальных водителей,Не закрыто смен,Успешных смен
4x2,"1. Базовый (Идеал: 0% Бол, 0% Отп)",337,0,6118
4x2,"2. Стандарт (8% Бол, 1/12 Отп)",383,0,6118
4x2,"3. Гаусс (1-10% Бол, 1/12 Отп)",378,0,6118
4x2,"4. Случайный всплеск (до 15% Бол, 1/12 Отп)",375,0,6118
4x2,"5. Только отпуска (0% Бол, 1/12 Отп)",370,0,6118
4x2,"6. Пиковая нагрузка (8% Бол, 15% Отп)",399,0,6118
5x2,"1. Базовый (Идеал: 0% Бол, 0% Отп)",308,0,6118
5x2,"2. Стандарт (8% Бол, 1/12 Отп)",356,0,6118
5x2,"3. Гаусс (1-10% Бол, 1/12 Отп)",349,0,6118
5x2,"4. Случайный всплеск (до 15% Бол, 1/12 Отп)",355,0,6118
5x2,"5. Только отпуска (0% Бол, 1/12 Отп)",338,0,6118
5x2,"6. Пиковая нагрузка (8% Бол, 15% Отп)",376,0,6118
3x2x3x1,"1. Базовый (Идеал: 0% Бол, 0% Отп)",546,0,6118
3x2x3x1,"2. Стандарт (8% Бол, 1/12 Отп)",544,0,6118
3x2x3x1,"3. Гаусс (1-10% Бол, 1/12 Отп)",545,0,6118
3x2x3x1,"4. Случайный всплеск (до 15% Бол, 1/12 Отп)",545,0,6118
3x2x3x1,"5. Только отпуска (0% Бол, 1/12 Отп)",542,0,6118
3x2x3x1,"6. Пиковая нагрузка (8% Бол, 15% Отп)",544,0,6118
4x2 + 5x2h,"1. Базовый (Идеал: 0% Бол, 0% Отп)",306,0,6118
4x2 + 5x2h,"2. Стандарт (8% Бол, 1/12 Отп)",346,0,6118
4x2 + 5x2h,"3. Гаусс (1-10% Бол, 1/12 Отп)",346,0,6118
4x2 + 5x2h,"4. Случайный всплеск (до 15% Бол, 1/12 Отп)",354,0,6118
4x2 + 5x2h,"5. Только отпуска (0% Бол, 1/12 Отп)",332,0,6118
4x2 + 5x2h,"6. Пиковая нагрузка (8% Бол, 15% Отп)",380,0,6118
5x2 + 5x2h,"1. Базовый (Идеал: 0% Бол, 0% Отп)",280,0,6118
5x2 + 5x2h,"2. Стандарт (8% Бол, 1/12 Отп)",310,0,6118
5x2 + 5x2h,"3. Гаусс (1-10% Бол, 1/12 Отп)",314,0,6118
5x2 + 5x2h,"4. Случайный всплеск (до 15% Бол, 1/12 Отп)",319,0,6118
5x2 + 5x2h,"5. Только отпуска (0% Бол, 1/12 Отп)",302,0,6118
5x2 + 5x2h,"6. Пиковая нагрузка (8% Бол, 15% Отп)",335,0,6118
